,Title,Tags,Related,Page1
39,On-Demand Webinar: Agency Guide to Zero Trust Maturity,CYBER ZERO TRUST,"51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ CYBER,  INTELLIGENCE,  HOMELAND SECURITY Maximizing the Defender’s Advantage: Five Steps Cyber Leaders Can Take Today 3 MIN READ CYBER Navigating the National Cyber Strategy: Five Key Takeaways for Agencies 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level",On-Demand Webinar: Agency Guide to Zero Trust Maturity   WATCH NOW |  0 The results are in for the first robust research study on federal agency approaches and technology prioritizations to  zero trust  since the White House Office of Management and Budget issued its strategy in January.
40,Accelerating Access to Care for America’s Veterans With AI,"ARTIFICIAL INTELLIGENCE HEALTH INDIAN HEALTH SERVICES  By   Dave Vennergrund Dave Vennergrund Vice President, AI and Data Insights","3 MIN READ ARTIFICIAL INTELLIGENCE,  DATA AND ANALYTICS,  HOMELAND SECURITY, … INTELLIGENCE Applying Geospatial Intelligence and AI/ML to the Climate Change Challenge 3 MIN READ ARTIFICIAL INTELLIGENCE,  APPLICATION SERVICES Will Generative AI Solutions Be Good Partners for Paired Programming? 4 MIN READ ARTIFICIAL INTELLIGENCE ChatGPT: What It Is, What It Does … and What It Doesn’t 5 MIN READ ARTIFICIAL INTELLIGENCE,  HEALTH,  CYBER,  QUANTUM Quantum Computing: What Agencies Need to Know","The Department of Veterans Affairs (VA) has perhaps one of the purest and most universally understood missions: “to care for him who shall have borne the battle, and for his widow, and his orphan.” Today, the VA does that by providing veterans with health care administered via the Veterans Health Administration; providing veteran benefits through the Veterans Benefits Administration; maintaining and providing burial services at National Cemeteries; and ensuring continued services to veterans that, in turn, enhance our preparedness to respond to conflict, national emergencies or disasters. “ Our AI solutions improve the care veterans receive, accelerate treatment of skin conditions and enable them to access the services whenever and wherever ” Dave Vennergrund Dave Vennergrund Vice President, AI and Data Insights GDIT has  long supported the VA , working to improve the veteran experience to ensure veterans and their families have access to the benefits they have earned. From digital modernization to managed services, cloud to artificial intelligence, our technology solutions"
41,Conversational AI Drives Value and Engagement,"ARTIFICIAL INTELLIGENCE CIVIL EMERGING TECHNOLOGY  By   Mike Cole Mike Cole Chief Technology Officer, Federal Civilian","3 MIN READ ARTIFICIAL INTELLIGENCE,  DATA AND ANALYTICS,  HOMELAND SECURITY, … INTELLIGENCE Applying Geospatial Intelligence and AI/ML to the Climate Change Challenge 3 MIN READ ARTIFICIAL INTELLIGENCE,  APPLICATION SERVICES Will Generative AI Solutions Be Good Partners for Paired Programming? 4 MIN READ ARTIFICIAL INTELLIGENCE ChatGPT: What It Is, What It Does … and What It Doesn’t 5 MIN READ ARTIFICIAL INTELLIGENCE,  HEALTH,  CYBER,  QUANTUM Quantum Computing: What Agencies Need to Know","Every project should be focused on delivering mission value. A heavy focus on return on investment, or ROI, limits an agency’s ability to receive the full  value on their investment . As every agency and company contemplate how they will continue to deliver on mission while retaining employees, the focus needs to expand to value-driven decision making. OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s artificial intelligence work, including with Conversational AI tools. ARTIFICIAL INTELLIGENCE"
42,"Zero Trust: It’s a Journey, Not a Destination","CYBER ZERO TRUST  By   Dr. Matthew McFadden Dr. Matthew McFadden Vice President, Cyber & Distinguished Technologist","51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ CYBER,  INTELLIGENCE,  HOMELAND SECURITY Maximizing the Defender’s Advantage: Five Steps Cyber Leaders Can Take Today 3 MIN READ CYBER Navigating the National Cyber Strategy: Five Key Takeaways for Agencies 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level","In a year marked by significant cyber events – the White House’s  Executive Order on Improving the Nation’s Cybersecurity  made it clear that maturing our cyber defenses is a priority for our country. The Executive Order (EO) highlights the need for cybersecurity modernization – specifically through advancement toward zero trust and migration to secure cloud services. Zero trust is a cybersecurity framework developed around the concept of “never trust, always verify.” It requires all users, whether they are inside or outside an organization’s network, to be continuously validated to access applications and data. This is assessed against five key pillars: identity, devices, network and environments, applications and workloads, and data. OUR CAPABILITIES OUR CAPABILITIES Learn more about our zero trust accelerator and cyber strategy. ZERO TRUST ACCELERATOR"
43,Education Technology: Four Considerations to Upgrade,CIVIL TRAINING AND SIMULATION  By   Christopher Leonard and Dan deBoom Christopher Leonard and Dan deBoom Strategic Technical Learning Solutions Lead and Training and Multimedia Sr. Project Manager,"43 MIN LISTEN CIVIL,  ENVIRONMENT How Technology is Enabling Climate Change Initiatives EVENT CIVIL,  LOGISTICS AND SUPPLY CHAIN MANAGEMENT Supply Chain Across Borders EVENT CIVIL,  DATA AND ANALYTICS Data Driven Diplomacy 3 MIN READ CIVIL Modernizing Government Approaches to Global Citizen Services","OUR CAPABILITIES OUR CAPABILITIES Learn more about how GDIT’s Strategy and Performance Group  designs, implements, and evaluates comprehensive learning programs and platforms. TRAINING AND SIMULATION"
44,Software Factories Are About People and Places to Solve Problems,"APPLICATION SERVICES CLOUD CYBER  By   Jay Olsen Jay Olsen Vice President, Application Services Technology","3 MIN READ ARTIFICIAL INTELLIGENCE,  APPLICATION SERVICES Will Generative AI Solutions Be Good Partners for Paired Programming? 5 MIN READ APPLICATION SERVICES,  CYBER,  ZERO TRUST Protecting Workloads Using Zero Trust: 5 Steps to Take Now 3 MIN READ APPLICATION SERVICES,  ARTIFICIAL INTELLIGENCE,  CYBER,  ZERO TRUST Developing a Next-Generation Cybersecurity Workforce 3 MIN READ APPLICATION SERVICES DevSecOps Delivers Speed of Value, Faster","A software factory, as defined by most, is a set of assets that help development teams take an assembly line-like approach to the production of new software that meets a uniform set of requirements. While that’s a correct description, it’s only partly so. OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s application development work and our innovative technology delivery models. APPLICATION SERVICES"
45,5 Things Federal Agencies Should Know About Blockchain,"CYBER  By   Michael Carter Michael Carter Principal Solutions Architect, Enterprise Blockchain and Cryptocurrency","51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ CYBER,  INTELLIGENCE,  HOMELAND SECURITY Maximizing the Defender’s Advantage: Five Steps Cyber Leaders Can Take Today 3 MIN READ CYBER Navigating the National Cyber Strategy: Five Key Takeaways for Agencies 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level","Blockchain is something that’s been around for a while, yet it’s understandable if you’re not totally familiar with it or even sure of what it is in the first place. It was first introduced in the  Bitcoin Whitepaper  as a novel way of taking modern public key cryptography, which is the way we protect communications and data transfer, and innovating a new way to leverage the native hash functions of blockchain, which mathematically encode information in a way that is nearly impossible to reverse engineer without holding a key. Essentially, a blockchain is a shared, immutable recording of transactions. It’s a method of organizing information in a way in which each “block” of new information is OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT, including our blockchain expertise. CYBER"
46,Digital Adoption in the Developing World,CIVIL DIGITAL MODERNIZATION,"43 MIN LISTEN CIVIL,  ENVIRONMENT How Technology is Enabling Climate Change Initiatives EVENT CIVIL,  LOGISTICS AND SUPPLY CHAIN MANAGEMENT Supply Chain Across Borders EVENT CIVIL,  DATA AND ANALYTICS Data Driven Diplomacy 3 MIN READ CIVIL Modernizing Government Approaches to Global Citizen Services","April 19, 2022 12 to 1 p.m. EDT Live Streamed Explore how digital technology is transforming how people around the world access information, goods, and services worldwide during the Digital Adoption in the Developing World event. In this compelling panel discussion, experts from across academia, government and industry will discuss the digital transformation impact on USAID, its mission and the associated challenges. Technology and Diplomacy Technology and Diplomacy Panel Series Panel Series Digital Adoption in the Developing World REGISTER NOW"
47,Aviation Communications: Securing and Protecting Critical Infrastructure for the FAA,"CIVIL AVIATION  By   Mariano Alicea Mariano Alicea Vice President, Transportation and Infrastructure","43 MIN LISTEN CIVIL,  ENVIRONMENT How Technology is Enabling Climate Change Initiatives EVENT CIVIL,  LOGISTICS AND SUPPLY CHAIN MANAGEMENT Supply Chain Across Borders EVENT CIVIL,  DATA AND ANALYTICS Data Driven Diplomacy 3 MIN READ CIVIL Modernizing Government Approaches to Global Citizen Services","A commercial airline pilot flies a plane at cruising speed between 500-600 miles per hour with hundreds of passengers on board. While preparing to land at an airport, safety risk significantly increases as speed is reduced, number of maneuvers increases, and there is less time to react. During this time, the communications link between the pilot and air traffic control on the ground is critical. The air traffic controller relies on real-time flight path data on screen to guide the pilot safely, and for those minutes, the safety of every person onboard and many more on the ground depends on this connection. This communication between a pilot and air traffic controller is repeated many times for each flight, multiplied over the 45,000 flights per OUR INDUSTRIES OUR INDUSTRIES Learn more about GDIT's Aviation expertise. AVIATION"
48,Developing a Next-Generation Cybersecurity Workforce,"APPLICATION SERVICES ARTIFICIAL INTELLIGENCE CYBER ZERO TRUST  By   Henry J. Powell, IX Henry J. Powell, IX Chief Technology Officer, Vice President & Distinguished Technologist - Intelligence and Homeland Security Division","3 MIN READ ARTIFICIAL INTELLIGENCE,  APPLICATION SERVICES Will Generative AI Solutions Be Good Partners for Paired Programming? 5 MIN READ APPLICATION SERVICES,  CYBER,  ZERO TRUST Protecting Workloads Using Zero Trust: 5 Steps to Take Now 3 MIN READ APPLICATION SERVICES,  CLOUD,  CYBER Software Factories Are About People and Places to Solve Problems 3 MIN READ APPLICATION SERVICES DevSecOps Delivers Speed of Value, Faster","Highly effective cybersecurity teams are those with the right skills mix to deliver on the customer mission. They leverage all of the latest cybersecurity tools, AI/ML, and efficient application development processes, up and down the cyber stack. That’s table stakes. OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s cybersecurity work. CYBER"
49,Move to Outcomes Oriented Performance Metrics With a Managed Service Transformation,"MANAGED SERVICES  By   Andrew McNamara Andrew McNamara Director, Managed Services","4 MIN READ DIGITAL MODERNIZATION,  MANAGED SERVICES Achieving Mission Success: Best Practices to Foster Effective Collaboration Among Contractors 3 MIN READ CIVIL,  MANAGED SERVICES Value of Investment: Measuring Impact of Innovation and Modernization 4 MIN READ MPE,  DEFENSE,  ICAM,  ZERO TRUST ICAM/Zero Trust: At the Core of Interoperability in Mission Partner Environments 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk Enabling JADC2: How Digital Engineering Reduces Risk","Increasingly adopted over the last several years, a Managed Services model allows an agency to consume services based on a well- defined set of outcomes rather than focusing on all the hardware, software, and underlying services. A Managed Services Provider (MSP) like GDIT is then responsible for managing all the underlying components. OUR CAPABILITIES OUR CAPABILITIES Learn more about driving the outcomes you need with Managed Services. MANAGED SERVICES"
50,Tackling Climate Change at Scale: A Conversation With the Department of Energy CIO,CIVIL DATA AND ANALYTICS ENVIRONMENT HIGH-PERFORMANCE COMPUTING,"43 MIN LISTEN CIVIL,  ENVIRONMENT How Technology is Enabling Climate Change Initiatives EVENT CIVIL,  LOGISTICS AND SUPPLY CHAIN MANAGEMENT Supply Chain Across Borders EVENT CIVIL,  DATA AND ANALYTICS Data Driven Diplomacy 3 MIN READ CIVIL Modernizing Government Approaches to Global Citizen Services","GDIT’s Darby Bade, vice president for EPA programs and climate change growth initiatives, joined Department of Energy’s Ann Dunkin, chief information officer, in a fireside chat during ACT-IAC’s Imagine Nation ELC conference. Together, they discuss the enormity of the climate change challenge and the solutions needed at-scale to make an impact. “Across the federal government, we are seeing more and more of a focus on goals that represent a convergence of IT and the environment,” Darby said. “We’ve been talking about green IT for a long time... [today] agencies are looking at agency technology infrastructure and how they can green it.” “ Climate change is the most pressing problem that we have. And if we don’t solve that problem, solving any of the other problems that we have doesn’t really matter. We’re looking to scale up clean renewable power… [to] create a clean energy future for the country. ” Ann Dunkin Ann Dunkin Chief Information Officer, U.S. Department of Energy"
51,Three Ways Cloud Is Rapidly Advancing Healthcare,CLOUD HEALTH,"51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ INTELLIGENCE,  HOMELAND SECURITY,  CLOUD 5 Data Center Best Practices That Have Nothing To Do With Technology 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level 52 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE Enabling JADC2: How ICAM is Advancing Information Sharing","“ [When the CDO] sits at the same level as technology and the mission owner and the application owner, that provides the best outcome. ” Matthew Soltis Matthew Soltis Vice President, Cloud Solutions OUR CAPABILITIES OUR CAPABILITIES"
52,Cybersecurity Is More Than Just Compliance,"CYBER ZERO TRUST  By   John P. Sahlin, Ph.D. John P. Sahlin, Ph.D. Director, Cyber Solutions – Defense","51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ CYBER,  INTELLIGENCE,  HOMELAND SECURITY Maximizing the Defender’s Advantage: Five Steps Cyber Leaders Can Take Today 3 MIN READ CYBER Navigating the National Cyber Strategy: Five Key Takeaways for Agencies 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level","In today’s environment, many organizations – across government, academia, and the private sector – make the unfortunate mistake of conflating cybersecurity with cyber compliance. And it’s easy to understand why: There are mountains of guidelines and standards to which these organizations must comply. It’s hard not to be compliance driven. OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s cybersecurity work, including our approach and portfolio. CYBER"
53,Gaining a New Perspective Through the Critical Talent Cohort Program,OUR CULTURE,"2 MIN READ CYBER,  OUR CULTURE AI Powers Up Cyber Resilience: A Look Back at Our Successful Cyber Hackathon 3 MIN READ OUR CULTURE How One GDIT Engineer Is Helping Students Find Their Career Paths 2 MIN READ OUR CULTURE 2 MIN READ OUR CULTURE 23 GDIT Engineers to Receive Honors at the 2022 BEYA STEM Conference 3 MIN READ OUR CULTURE Inspiring the Next Generation of STEM Leaders","Qun Zhang, Principal Software Architect, is a current cohort member in GDIT’s  Navy Marine Corp Critical Talent Cohort  (NMC CTC or CTC) program. Not only is she learning to step outside her technical day-to-day role through the program, she’s also finding ways to leverage GDIT resources to lead her customer through critical digital transformation. Disruptive innovation redefines learning platforms As the leader of the Innovation Center for the Defense Acquisition University (DAU) for the Department of Defense, Qun’s responsible for finding and testing disruptive technologies that will help the university better meet the needs of their faculty and students. “The big challenge right now is the workforce themselves are changing because of technology advancements,” said Qun. “How DAU as a corporate university adapts to that—and makes a more engaging learning environment for the Defense Acquisition workforce—has become the challenge for them to solve.” Qun and her team are using technology and innovation to help modernize their learning platforms using things like artificial intelligence (AI) and machine learning. “We do sentiment analysis of their user feedback, we use digital assistants. And then we also use virtual reality and augmented reality for them to enrich their user experience.” A dream conversation Qun has big dreams, one of which is aspiring to a leadership role like a Chief Technology Officer. The NMC CTC program is enhancing her skills and helping her build a network to support her career goals. Her favorite experience in the program so far has been participating in what’s called Dream Conversations. Each cohort member requests a “dream conversation” with a leader at GDIT and Qun was fortunate enough to have an hour-long conversation with GDIT’s Vice President and Chief Technology Officer. “He shared—without any reservation—how he grew from a pure technical person to a VP and CTO, overseeing a lot of business units"
54,"Cyber Resilience: When Everything Is Code, Everything Bounces Forward","CYBER ZERO TRUST  By   John P. Sahlin, Ph.D. John P. Sahlin, Ph.D. Director, Cyber Solutions – Defense","51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ CYBER,  INTELLIGENCE,  HOMELAND SECURITY Maximizing the Defender’s Advantage: Five Steps Cyber Leaders Can Take Today 3 MIN READ CYBER Navigating the National Cyber Strategy: Five Key Takeaways for Agencies 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level","Cybersecurity at scale requires a focus on resilience. And as anyone in cybersecurity will tell you, resilience is more than compliance; it’s about agility. Being compliant doesn’t always (and frequently isn’t) the same as being secure, especially as both the nature of cyber threats evolve and the number of tools in cyber adversaries’ arsenals grows. This is why using the flexible Everything as Code (XaC) approach as a means to build resilience into architectures is so important. In fact, OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s cybersecurity work. CYBER"
55,On-Demand Webinar: Data Governance Across Borders,DATA AND ANALYTICS,"3 MIN READ ARTIFICIAL INTELLIGENCE,  DATA AND ANALYTICS,  HOMELAND SECURITY, … INTELLIGENCE Applying Geospatial Intelligence and AI/ML to the Climate Change Challenge EVENT CIVIL,  DATA AND ANALYTICS Data Driven Diplomacy 3 MIN READ DATA AND ANALYTICS,  INTELLIGENCE,  HOMELAND SECURITY Geospatial Data Cleaning: Five Challenges & Five Solutions 3 MIN READ DATA AND ANALYTICS,  INTELLIGENCE,  HOMELAND SECURITY Partnering with Academia to Build Geospatial Talent","On-Demand Webinar: Data Governance Across Borders   WATCH NOW |  0 Explore the complexities of data collection and housing when conducting work across international borders and discuss efforts to facilitate positive outcomes in this arena. In this compelling panel discussion, experts focus on data collection across borders as well as privacy and ethical considerations."
56,GDIT President Amy Gilliland Speaks with NVTC’s “Let’s TalkTech” Series,CYBER,"51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ CYBER,  INTELLIGENCE,  HOMELAND SECURITY Maximizing the Defender’s Advantage: Five Steps Cyber Leaders Can Take Today 3 MIN READ CYBER Navigating the National Cyber Strategy: Five Key Takeaways for Agencies 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level","GDIT President Amy Gilliland was recently featured on the Northern Virginia Technology Council’s “Let’s TalkTech” digital series that explores tech’s most notable trends, new innovations, digital transformations, lean agile principles and mindsets, the future of work and more. It regularly highlights Washington area leaders who are making an impact on the region. In her session, Amy talked about the government contracting landscape and how COVID-19 has accelerated the government's IT modernization plans. She also addressed JADC2, the Biden administration's cybersecurity executive order and the ways GDIT is helping customers implement its recommendations, even as they embrace other important and emerging technology trends. “ The Cyber Executive Order doubled down on a cybersecurity focus that our customers have had for a number of years.....It adds a number of additional elements to that focus – in particular, things like Identity Credentialing and Access Management (ICAM) and Zero Trust ” Amy Gilliland Amy Gilliland GDIT President"
57,GDIT’s ICAM Solution Leading the Way to Enable JADC2,CYBER DEFENSE,"51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ CYBER,  INTELLIGENCE,  HOMELAND SECURITY Maximizing the Defender’s Advantage: Five Steps Cyber Leaders Can Take Today 3 MIN READ CYBER Navigating the National Cyber Strategy: Five Key Takeaways for Agencies 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level","GDIT works diligently to conceive and build solutions that address our customers’ need for security and speed – without tradeoffs. We recently discussed  how our Identity, Credential and Access Management (ICAM) solution does precisely that. It tracks user identities across a network and ensures access is limited to only those who can verify they need it. In traditional cybersecurity models, log-in points at the perimeter are used to secure a network. However, in these scenarios, a breach gives bad actors access to everything within the perimeter. GDIT’s ICAM solution enables  Zero Trust  because of the way it strictly limits access within a network. This is important, because across the OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s ICAM solution. ICAM"
58,"GDIT’s Dr. Matthew McFadden Sits Down with CISA’s Eric Goldstein to Talk Cyber Priorities, Zero Trust, and More",CYBER ZERO TRUST,"51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ CYBER,  INTELLIGENCE,  HOMELAND SECURITY Maximizing the Defender’s Advantage: Five Steps Cyber Leaders Can Take Today 3 MIN READ CYBER Navigating the National Cyber Strategy: Five Key Takeaways for Agencies 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level","With the White House’s Cyber Executive Order (EO) nearing its one year anniversary, Dr. Matthew McFadden, GDIT’s vice president for cyber, sat down with Eric Goldstein, executive assistant director for cybersecurity, at the Cybersecurity and Infrastructure Security Agency to reflect on the progress meeting  zero trust  mandates in the past 12 months. CISA is playing a critical role in supporting agencies as they develop cyber strategies that can stand up to the current threat landscape. The two cyber leaders discuss CISA’s top and future priorities, like monitoring adversaries and threat sharing across the government. And, as agencies begin their zero trust transformations, Mr. Goldstein discussed how they should benchmark progress and identify gaps. OUR CAPABILITIES OUR CAPABILITIES Learn more about our work in Cyber. CYBER"
59,Next Gen EDR: Survival of the Fastest,"ARTIFICIAL INTELLIGENCE CYBER ZERO TRUST  By   Johnny Westbank Johnny Westbank Senior Advisor, Technology Consulting","3 MIN READ ARTIFICIAL INTELLIGENCE,  DATA AND ANALYTICS,  HOMELAND SECURITY, … INTELLIGENCE Applying Geospatial Intelligence and AI/ML to the Climate Change Challenge 3 MIN READ ARTIFICIAL INTELLIGENCE,  APPLICATION SERVICES Will Generative AI Solutions Be Good Partners for Paired Programming? 4 MIN READ ARTIFICIAL INTELLIGENCE ChatGPT: What It Is, What It Does … and What It Doesn’t 5 MIN READ ARTIFICIAL INTELLIGENCE,  HEALTH,  CYBER,  QUANTUM Quantum Computing: What Agencies Need to Know","When I work with customers and potential customers on their  endpoint detection response (EDR) capabilities , I tend to ask four questions about the current state of their security systems: If your network was compromised today, would you be able to identify the pivoting lateral movement and identify the attacker’s last set OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s next generation EDR capabilities as part of the GDIT Cyber Stack. CYBER STACK"
60,Scale to Match the Cyber Threat Landscape: Agencies Leverage Autonomous Cyber,"ARTIFICIAL INTELLIGENCE CYBER ZERO TRUST  By   Dr. Matthew McFadden Dr. Matthew McFadden Vice President, Cyber & Distinguished Technologist","3 MIN READ ARTIFICIAL INTELLIGENCE,  DATA AND ANALYTICS,  HOMELAND SECURITY, … INTELLIGENCE Applying Geospatial Intelligence and AI/ML to the Climate Change Challenge 3 MIN READ ARTIFICIAL INTELLIGENCE,  APPLICATION SERVICES Will Generative AI Solutions Be Good Partners for Paired Programming? 4 MIN READ ARTIFICIAL INTELLIGENCE ChatGPT: What It Is, What It Does … and What It Doesn’t 5 MIN READ ARTIFICIAL INTELLIGENCE,  HEALTH,  CYBER,  QUANTUM Quantum Computing: What Agencies Need to Know","After countless data breaches and ransomware attacks in recent years, the federal government recognized that its existing manual cyber management approach no longer addresses the ever-evolving cyber threats that continue to appear. In May 2021, the Biden administration published the  Cyber Executive Order  to bolster our nation’s cybersecurity. The Cyber EO emphasizes the importance of increased security surrounding data access and cybersecurity practices that focus on prevention, in addition to protection. To achieve this, agencies must implement a cybersecurity strategy applying zero trust with a core focus on automation and orchestration. OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s cybersecurity work. CYBER"
61,"DevSecOps Delivers Speed of Value, Faster","APPLICATION SERVICES  By   Jay Olsen Jay Olsen Vice President, Application Services Technology","3 MIN READ ARTIFICIAL INTELLIGENCE,  APPLICATION SERVICES Will Generative AI Solutions Be Good Partners for Paired Programming? 5 MIN READ APPLICATION SERVICES,  CYBER,  ZERO TRUST Protecting Workloads Using Zero Trust: 5 Steps to Take Now 3 MIN READ APPLICATION SERVICES,  CLOUD,  CYBER Software Factories Are About People and Places to Solve Problems 3 MIN READ APPLICATION SERVICES,  ARTIFICIAL INTELLIGENCE,  CYBER,  ZERO TRUST Developing a Next-Generation Cybersecurity Workforce","DevSecOps is an important software development approach that conditions teams to align processes, promote collaboration and continuously invite and act upon feedback. In this vein, DevSecOps enables innovation in ways many of us don’t even realize. Specifically, DevSecOps drives mission capabilities and performance, promotes safety and resilience, and improves the quality of the end user experience. In federal government environments in particular, DevSecOps is one way GDIT is accelerating value delivery of solutions to customers faster than ever before. OUR CAPABILITIES OUR CAPABILITIES Learn more about GDIT’s application services capabilities. APPLICATION SERVICES"
62,Modernizing at the Speed of Need: Pier-Side Ship Modernization for the U.S. Navy,DEFENSE,"4 MIN READ MPE,  DEFENSE,  ICAM,  ZERO TRUST ICAM/Zero Trust: At the Core of Interoperability in Mission Partner Environments 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  DEE Enabling JADC2: How Digital Engineering Reduces Risk 3 MIN READ DEFENSE,  ZERO TRUST,  MPE,  ICAM Ensuring Secure, Sustained Connections with Mission Partners in the Pacific 51 MIN WATCH CLOUD,  CYBER,  DEFENSE,  AIR FORCE AND SPACE FORCE,  MPE Enabling JADC2: MPE and the Integration of Mission Partners at the Tactical Level","The modernization of its current and future fleets is a critical priority for the U.S. Navy. GDIT has been supporting the Navy in this continuous mission for nearly a decade, most recently expanding our support to include the Ship and Air Command, Control, Communication, Computers, Combat, Intelligence, Surveillance, and Reconnaissance (C5ISR) Systems Support (SACSS) contract. Our work on the SACSS program involves performing pier-side ship modernization services that enable the Navy to keep its current vessels operational while it simultaneously adds additional vessels to the fleet. We asked GDIT Vice President  Nancy Graf Nancy Graf  and Ship and Air Integrated Warfare Senior Program Director  Jim Conway Jim Conway , who lead the SACSS program, to talk with us about the work and its strategic importance to the Navy. Here’s what they had to say: OUR INDUSTRIES OUR INDUSTRIES Learn more about our work in Defense. DEFENSE"
63,How One GDIT Engineer Is Helping Students Find Their Career Paths,OUR CULTURE,"2 MIN READ CYBER,  OUR CULTURE AI Powers Up Cyber Resilience: A Look Back at Our Successful Cyber Hackathon 2 MIN READ OUR CULTURE 23 GDIT Engineers to Receive Honors at the 2022 BEYA STEM Conference 3 MIN READ OUR CULTURE Inspiring the Next Generation of STEM Leaders 3 MIN READ OUR CULTURE Gaining a New Perspective Through the Critical Talent Cohort Program","GDIT has long been a partner to the  geospatial community in St. Louis . Last year we expanded in our footprint there with a new home in the city’s  Cortex Innovation Community  (CIC), making a significant investment and continuing our commitment to the region. More recently, part of that commitment has also involved driving innovation and STEM (Science, Technology, Engineering and Math) talent development locally. One way we do that is by working with partners like  STEM Board  and the  Little Bit Foundation  to send GDIT speakers into area schools to talk about the plethora of careers and the opportunities in the field, building capacity and a diverse talent pool ready and able to make an impact. Corey Carter, a GDIT program manager based in Springfield, Virginia, has spent the last several months visiting classrooms – virtually and in-person – in St. Louis to talk about his work and about his atypical and inspiring career path in STEM. “Many of the schools I visit don’t even have formal STEM programs,” he said. “These schools are under-resourced, serving underprivileged kids, and many of these kids have never seen an engineer who looks like them. When I go in and talk to the students, we start with what STEM is, how technology plays a role in their everyday lives, and how to get involved in doing STEM work.” Corey often points to an iPhone as relatable example of technology and how students interact with the people powering those devices. He talks with them about the people who answer Help Desks, or who code applications for the phone, or who run the network infrastructure that enables everything a person does on a device. “ Once we get students excited about technology, then we tackle the next challenge, which is helping them understand the paths they can take and what’s possible with a career in STEM ”"
